name,logo_url,history
Acura,/static/img/acura.png,"Acura는 Honda의 고급차 브랜드로 1986년 북미 시장을 위해 런칭되었으며, 퍼포먼스와 럭셔리를 결합한 차량을 제공합니다."
Alfa-Romeo,/static/img/alfaromeo.png,"Alfa Romeo는 1910년 이탈리아 밀라노에서 설립된 스포츠카 중심의 브랜드로, 유려한 디자인과 레이싱 전통으로 유명합니다."
Aston Martin,/static/img/astonmartin.png,"Aston Martin은 영국의 럭셔리 스포츠카 브랜드로, 제임스 본드 영화로도 잘 알려져 있습니다."
Audi,/static/img/audi.png,"Audi는 독일 프리미엄 자동차 브랜드로, 기술을 통한 진보(Vorsprung durch Technik)를 모토로 합니다."
BMW,/static/img/bmw.png,"BMW는 독일의 대표 프리미엄 자동차 브랜드로, ‘운전의 즐거움’을 강조하며 고성능 차량을 생산합니다."
Bentley,/static/img/bentley.png,"Bentley는 영국의 초고급차 브랜드로, 수제작과 강력한 엔진 성능이 특징입니다."
Buick,/static/img/buick.png,"Buick은 미국의 오랜 전통을 가진 브랜드로, GM 산하에서 고급스러운 대중차를 생산합니다."
Cadilac,/static/img/cadilac.png,"Cadillac은 GM의 프리미엄 브랜드로, 미국식 럭셔리카의 대명사로 꼽힙니다."
Chevrolet,/static/img/chevrolet.png,"Chevrolet는 GM 산하의 글로벌 대중차 브랜드로, 다양한 차급을 전 세계에 판매하고 있습니다."
Chrysler,/static/img/chrysler.png,"Chrysler는 미국의 대표적인 자동차 브랜드 중 하나로, 현재는 Stellantis 그룹에 속해 있습니다."
Daewoo,/static/img/daewoo.png,"대우자동차는 한때 대한민국을 대표했던 브랜드였으며, 현재는 GM Korea로 통합되었습니다."
Daihatsu,/static/img/daihatsu.png,"Daihatsu는 일본의 경차 전문 브랜드로, Toyota 그룹에 소속되어 있습니다."
Dodge,/static/img/dodge.png,"Dodge는 미국의 퍼포먼스 중심 브랜드로, 근육질 머슬카와 SUV가 주력입니다."
Eagle,/static/img/eagle.png,Eagle은 1988~1998년까지 AMC와 크라이슬러에 의해 판매되던 미국 자동차 브랜드입니다.
Ferrari,/static/img/ferrari.png,"Ferrari는 이탈리아의 슈퍼카 브랜드로, F1의 강자이며 고성능 스포츠카로 유명합니다."
Fiat,/static/img/fiat.png,"Fiat은 이탈리아를 대표하는 브랜드로, 도시형 컴팩트카와 장기 역사를 자랑합니다."
Fisker,/static/img/fisker.png,Fisker는 전기차 기반의 럭셔리 차량을 개발하는 미국의 친환경 자동차 스타트업입니다.
Ford,/static/img/ford.png,"Ford는 헨리 포드에 의해 설립된 미국 자동차 산업의 상징이며, T형 모델로 대량 생산을 도입했습니다."
Freighliner,/static/img/freighliner.png,"Freightliner는 미국의 대형 상용 트럭 제조업체로, Daimler Truck North America 산하에 있습니다."
GMC,/static/img/gmc.png,"GMC는 GM 산하의 트럭·SUV 전문 브랜드로, 견고한 상용차 이미지를 가지고 있습니다."
Genesis,/static/img/genesis.png,"Genesis는 현대차의 프리미엄 브랜드로, 디자인과 첨단 기술을 강조한 고급차를 생산합니다."
Geo,/static/img/geo.png,"Geo는 1989년 GM이 소형차 시장을 공략하기 위해 세운 브랜드로, 1997년 단종되었습니다."
Honda,/static/img/honda.png,"Honda는 일본의 세계적인 자동차 및 오토바이 제조사로, 신뢰성과 연비 효율성이 뛰어난 차량을 제공합니다."
Hummer,/static/img/hummer.png,"Hummer는 군용차에서 유래한 SUV 브랜드로, 현재는 GM이 전기 SUV로 부활시켰습니다."
Hyundai,/static/img/hyundai.png,"Hyundai는 대한민국 대표 글로벌 브랜드로, 최근 전기차와 자율주행 기술에서도 선도적입니다."
Infinity,/static/img/infinity.png,"Infiniti는 Nissan의 프리미엄 브랜드로, 북미 시장을 중심으로 고급차를 제공합니다."
Isuzu,/static/img/isuzu.png,"Isuzu는 일본의 상용차 및 디젤 엔진 전문 브랜드로, 픽업트럭과 트럭이 강점입니다."
Jaguar,/static/img/jaguar.png,"Jaguar는 영국의 럭셔리 브랜드로, 고급 세단과 스포츠카에 강점을 지니고 있습니다."
Jeep,/static/img/jeep.png,"Jeep는 오프로드 SUV의 원조격 브랜드로, 2차 세계대전에서 탄생한 전통을 자랑합니다."
Kla,/static/img/kla.png,"Kia는 현대차 그룹의 일원으로, 전 세계 시장에서 경쟁력 있는 디자인과 기술을 자랑합니다."
Lamborghini,/static/img/lamborghini.png,"Lamborghini는 이탈리아의 슈퍼카 브랜드로, 과감한 디자인과 강력한 성능으로 유명합니다."
Land Rover,/static/img/landrover.png,"Land Rover는 영국의 오프로드 SUV 전문 브랜드로, 고급 SUV 시장을 리드합니다."
Lexus,/static/img/lexus.png,"Lexus는 Toyota의 프리미엄 브랜드로, 정숙성과 품질을 중요시하는 고급차를 만듭니다."
Lincoln,/static/img/lincoln.png,"Lincoln은 Ford의 프리미엄 브랜드로, 미국식 럭셔리의 전통을 보여줍니다."
Lotus,/static/img/lotus.png,"Lotus는 영국의 경량 스포츠카 브랜드로, 핸들링과 퍼포먼스를 강조합니다."
Mazda,/static/img/mazda.png,"Mazda는 일본의 기술력 있는 브랜드로, 로터리 엔진과 드라이빙 감성으로 유명합니다."
Maserati,/static/img/maserati.png,"Maserati는 이탈리아의 럭셔리 스포츠 세단 브랜드로, 감성과 성능을 동시에 추구합니다."
Maybach,/static/img/maybach.png,"Maybach는 Mercedes-Benz의 최상위 초호화 브랜드로, 궁극의 럭셔리를 지향합니다."
McLaren,/static/img/mclaren.png,"McLaren은 영국의 슈퍼카 브랜드로, F1 기술을 도입한 초고성능 차량을 제작합니다."
Mercedez-Benz,/static/img/mercedezbenz.png,"Mercedes-Benz는 독일의 명문 자동차 브랜드로, 고급 세단과 기술혁신의 상징입니다."
Mercury,/static/img/mercury.png,"Mercury는 Ford의 중간급 브랜드로, 2011년 단종되었습니다."
Mini,/static/img/mini.png,"Mini는 영국의 소형차 아이콘으로, BMW에 인수된 이후 개성 있는 프리미엄 소형차로 재탄생했습니다."
Mitsubishi,/static/img/mitsubishi.png,"Mitsubishi는 일본의 종합 자동차 브랜드로, SUV와 4WD 기술에 강점을 보입니다."
Nissan,/static/img/nissan.png,"Nissan은 일본의 대표 자동차 브랜드로, Leaf를 통해 전기차 시장 선도자로 평가받습니다."
Oldsmobile,/static/img/oldsmobile.png,"Oldsmobile은 GM 산하의 미국 브랜드였으며, 2004년 단종되었습니다."
Panoz,/static/img/panoz.png,"Panoz는 미국의 소량 생산 스포츠카 브랜드로, 레이싱 기술을 기반으로 한 차량을 개발합니다."
Plymouth,/static/img/plymouth.png,"Plymouth는 크라이슬러 산하의 대중차 브랜드로, 2001년 단종되었습니다."
Polestar,/static/img/polestar.png,"Polestar는 Volvo 산하의 전기차 브랜드로, 스칸디나비아 디자인과 지속가능성을 강조합니다."
Pontiac,/static/img/pontiac.png,"Pontiac은 GM 산하의 퍼포먼스 중심 브랜드였으며, 2010년 단종되었습니다."
Porsche,/static/img/porsche.png,"Porsche는 독일의 스포츠카 및 고성능 SUV 브랜드로, 정밀한 퍼포먼스와 디자인이 특징입니다."
Ram,/static/img/ram.png,"Ram은 크라이슬러 산하의 픽업트럭 브랜드로, 미국 내 강력한 판매력을 보입니다."
Rivian,/static/img/rivian.png,"Rivian은 전기 SUV·트럭을 개발하는 미국의 신생 브랜드로, 아웃도어 감성을 강조합니다."
Rolls_Royce,/static/img/rollsroyce.png,"Rolls-Royce는 세계 최고급 럭셔리 자동차 브랜드로, 정숙성과 장인정신이 상징입니다."
Saab,/static/img/saab.png,"Saab은 스웨덴의 항공기 기술 기반 자동차 브랜드로, 2011년 파산 후 역사로 남았습니다."
Saturn,/static/img/saturn.png,"Saturn은 GM의 실험적 브랜드로, 독특한 판매 전략과 디자인으로 유명했으나 단종되었습니다."
Smart,/static/img/smart.png,"Smart는 Mercedes-Benz의 도시형 마이크로카 브랜드로, 작고 효율적인 차량을 제공합니다."
Subaru,/static/img/subaru.png,"Subaru는 일본 브랜드로, 전 모델 AWD 기반과 수평대향 엔진으로 유명합니다."
Susuki,/static/img/susuki.png,"Suzuki는 일본의 소형차 및 경차 전문 브랜드로, 경제성과 실용성이 강점입니다."
Tesla,/static/img/tesla.png,"Tesla는 미국의 전기차 혁신 브랜드로, 자율주행과 OTA 소프트웨어 업데이트로 유명합니다."
Toyota,/static/img/toyota.png,"Toyota는 세계 최대 자동차 제조사 중 하나로, 하이브리드 기술과 품질로 유명합니다."
Volkswagen,/static/img/volkswagen.png,"Volkswagen은 독일의 대표 대중차 브랜드로, 다양한 차종과 안정된 기술력으로 사랑받고 있습니다."
Volvo,/static/img/volvo.png,"Volvo는 스웨덴의 안전 중심 브랜드로, 최근에는 전기차와 친환경 전략에 집중하고 있습니다."
